,sarake1,sarake2,sarake3
0,,,
1,0.9222505920455354,0.49072052501525,0.1339317344612585
2,0.0737457965355211,0.929162348432636,0.9627452814335862
3,0.3637065716836567,0.8783488172097714,0.4856999670840168
4,0.1069032338873768,0.7146510849910257,0.0399530801014643
5,0.1967877146203719,0.2327395638223633,0.8796999792099227
6,0.3231338681407583,0.0364660240940366,0.1867750644969246
7,0.4676099556015096,0.8509925777318551,0.377557877903842
8,0.3032986657510818,0.0969705186128143,0.4510310986215501
9,0.7334853147358118,0.5919964415669808,0.6589237820512222
10,0.6416282290317612,0.2518862827582513,0.2749868530530092
11,0.1546820010907434,0.5043524168472646,0.5572309657466377
12,0.3199055425802508,0.4892003560719629,0.990319120267762
13,0.7802672238818178,0.458454395392835,0.0534277434981429
14,0.0231120114247791,0.456482678761879,0.3783601510815707
15,0.9358745961778226,0.6982760592682931,0.4468853269538339
16,0.1131705044918111,0.5859103440693937,0.0268745281145568
17,0.2731929006731526,0.3003068613498512,0.7682703173662532
18,0.4670600401299349,0.2251610857020429,0.9115696787937382
19,0.0073016366279603,0.0054709046160952,0.7903442811468196
20,0.3005888788521001,0.4559799164810965,0.2922253209559241
21,0.859969901091025,0.3465385224790377,0.3646286836806733
22,0.8423644152934061,0.093485220024277,0.6620657650327825
23,0.7816933239208187,0.5733442437129072,0.8156924826578696
24,0.7889488463806328,0.945624786624094,0.8526897469765784
